 "experiment" , "experimentStep" , "experimentInput" , "experimentInputType" , "experimentInputName" , "experimentOutput" , "experimentOutputType" , "experimentOutputName" ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126309" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125858" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125738" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125721" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126419" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125868" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125958" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125726" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126462" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126239" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126433" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126031" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126515" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126075" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125816" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126291" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125952" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126527" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126331" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126347" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126343" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126091" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126493" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126233" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126022" , "https://w3id.org/reproduceme#Image" ,  ,
